person_id,profile_title,standardized_role
1,database administrator,Database Administrator
2,database administrator,Database Administrator
3,oracle database administrator,Database Administrator
4,amazon redshift administrator and etl developer business intelligence,Other IT Role
5,scrum master scrum master scrum master,Other IT Role
6,oracle database administrator,Database Administrator
7,oracle database administrator,Database Administrator
8,lead database administrator/developer,Database Administrator
10,oracle database administrator,Database Administrator
11,database administrator,Database Administrator
12,senior oracle database administrator,Database Administrator
13,database administrator,Database Administrator
14,database administrator,Database Administrator
15,sql database administrator/sql dba,Database Administrator
17,sql database administrator/developer,Database Administrator
18,sql server database administrator,Database Administrator
19,sql developer / dba,Database Administrator
20,systems administrator,Other IT Role
21,oracle database administrator,Database Administrator
23,csr administrator network system database,Database Administrator
24,oracle database administrator,Database Administrator
25,database administrator contractor,Database Administrator
26,dba/ database administrator,Database Administrator
27,oracle database administrator,Database Administrator
28,database administrator,Database Administrator
30,oracle database administrator,Database Administrator
31,database administrator,Database Administrator
32,chris f,Other IT Role
33,oracle database administrator,Database Administrator
34,sql database administrator,Database Administrator
36,database administrator amdocs dvci,Database Administrator
37,sql database administrator,Database Administrator
38,sr business analyst,Other IT Role
39,oracle database administrator,Database Administrator
40,oracle database administrator,Database Administrator
41,sql server database administrator,Database Administrator
42,database administrator,Database Administrator
43,sql server dba sql server dba sql server dba,Database Administrator
44,business intelligence database administrator,Database Administrator
46,database and sysadmin consultant,Database Administrator
47,senior database administrator,Database Administrator
49,sql server database administrator,Database Administrator
50,sql server database administrator,Database Administrator
51,sr sql server database administrator,Database Administrator
52,sr oracle postgresql database administrator/ database security engineer,Database Administrator
53,data engineer,Other IT Role
54,madison nj,Other IT Role
55,software developer,Other IT Role
56,carlos gonzalez,Other IT Role
58,business analyst business analyst information technology professional,Other IT Role
59,sql database administrator,Database Administrator
60,application database security administrator,Database Administrator
61,sql database administrator,Database Administrator
62,scrum master,Other IT Role
63,oracle database administrator,Database Administrator
64,devops dba devops dba,Database Administrator
65,oracle database senior technical engineer,Database Administrator
66,database administrator,Database Administrator
67,sql server database specialist/dba,Database Administrator
68,cyber security analyst/rmf specialist veteran affairs,Cybersecurity Analyst
69,oracle database administrator oracle database administrator,Database Administrator
70,joshua poland,Other IT Role
71,oracle database administrator,Database Administrator
72,oracle database administrator,Database Administrator
73,application database administrator,Database Administrator
74,scrum master,Other IT Role
75,programmer database administrator duarte,Database Administrator
78,sql server database dba/admin,Database Administrator
79,sr mongodb architect developer/administrator/dba,Database Administrator
81,financial analyst,Other IT Role
82,database administrator,Database Administrator
83,pos database administrator,Database Administrator
84,database administrator,Database Administrator
