person_id,institution,program,start_date,location,standardized_program,education_year
1,lead city university,bachelor of science,07/2013,,General Science,2013
2,lagos state university,bsc in computer science,,"lagos, gu",Computer Science,
3,"jntu - kakinada, andhra pradesh",master of computer applications in science and technology,2013,"kakinada, andhra pradesh",General Science,2013
4,university of informatics,bachelor in computer science,06/07,june 2007,Computer Science,
6,university of alaska,general/business/science courses,,"anchorage, ak",General Science,
7,university of yaounde,biochemistry,04/08,yaounde,Other Education,
8,bowie state university,bachelor s degree in biologychem / computer science,,,Computer Science,
9,bridgewater state university,management - information systems,,present,Other Education,
9,bristol community college,computer science/information systems,,,Computer Science,
9,university of massachusetts - dartmouth,computer science/information systems,,"dartmouth, ma",Computer Science,
10,university of maryland-university college,information technology,,"adelphi, md",Information Technology,
11,george washington university,ba political science,2010,"washington, dc",Information Technology,2010
12,university of maryland,associate s degree,,,Other Education,
13,university of yaound ii,bachelor s degree,,,Other Education,
14,the university of iowa,b.a. in computer science,05/16,"iowa city, ia",Computer Science,
15,sufia institute of science technology,bachelor s in management in finance,,,Other Education,
17,university of trento,master s in science,,italy,General Science,
17,addis ababa university,master s in science,,ethiopia,General Science,
18,middle tennessee state university,bachelor of business administration in accounting,05/11,"murfreesboro, tn",Business Administration,
19,radford university,bachelor of science,08/09,"radford, va",General Science,
20,stevens institute of technology,computer science,2010,"hoboken, nj",Computer Science,2010
21,university of buea,bachelor s in computer science and business management,09/96,buea,Computer Science,
21,lycee of bandjoun,high school or equivalent in genaral study,09/89,bandjoun,Other Education,
22,north dakota state university,bachelor of science,12/2013,"fargo, nd",General Science,2013
23,university of maryland university college,bachelor s in computer science,2015/00,"largo, md",Computer Science,2015
23,community college of baltimore county,associate in information technology,2010/06,"essex, md",Information Technology,2010
24,olnc training center,bsc in science of education,03/2012,"cincinnati, oh",General Science,2012
25,howard university,bachelor of science in business information systems,2006,"washington, dc",General Science,2006
27,north carolina a t state university,industrial engineering,2000/09,north carolina,Other Education,2000
28,unlv,bachelor s in business administration,09/01,"las vegas, nv",Business Administration,
29,savannah state university,bachelor of science in computer science,12/17,"savannah, ga",Computer Science,
30,mvj college of engineering,bachelor of engineering,,"whitefield - bengaluru, karnataka",Other Education,
31,university of huddersfield,master s in computer integrated manufacturing and management in computer integrated manufacturing and management,,huddersfield,Other Education,
31,jawaharlal nehru technological university,bachelor of engineering in engineering,,"hyderabad, telangana",Other Education,
32,devry institute,bachelor s in information technology,09/1985,"dallas, tx",Information Technology,1985
32,tarrant county junior college,general studies,09/1983,"fort worth, tx",Other Education,1983
32,james bowie high school,high school or equivalent in general studies,09/1981,"arlington, tx",Other Education,1981
34,maiwand university,bachelor of business administration in business administration,09/2010,,Business Administration,2010
34,danish institute,diploma in information technology,01/2006,,Information Technology,2006
35,cascadia community college,administration certification,,"bothell, wa",Other Education,
35,sensum computer college,bachelor of information technology in information technology,,"faisalabad, pk",Information Technology,
36,rajiv gandhi technical university,bachelor of engineering in computer science engineering,08/2008,"bhopal, madhya pradesh",Computer Science,2008
37,united methodist university,bsc in information systems and cyber security,,,Information Technology,
38,jawaharlal nehru technological university hyderabad,bachelor of technology in technology,2009,hyderabad,Other Education,2009
41,university of uyo,bachelor of science in economics,2012,,General Science,2012
42,northern virginia community college,associate of arts in early childhood development in education and certificates,,"alexandria, va",Other Education,
44,university of wisconsin - milwaukee,master of library and information science in library and information science,05/17,wi,General Science,
44,university of wisconsin - milwaukee,bachelor of science in information science and technology,05/14,wi,General Science,
44,university of wisconsin - whitewater,bachelor of arts in history,08/08,wi,Other Education,
45,southern new hampshire university,bs in game art and design,07/2018,july 2018 to july 2020,Other Education,2018
46,university of houston,bba in management information systems,05/10,"houston, tx",Other Education,
48,george mason university,bachelors of science in global and community health,,,Information Technology,
52,harrisburg university of science and technology,master of science in information systems engineering management,05/19,,General Science,
52,state university of new york at new paltz,master of science in electrical engineering,12/12,"new paltz, ny",Electronics Engineering,
